amount,velocity,location_risk,device_change,fraud
11201,8,0,0,0
13066,1,1,0,0
5785,2,1,1,0
26030,16,1,0,1
30210,1,1,1,0
255,3,1,1,0
9884,10,1,0,0
5220,18,1,1,0
25319,20,0,1,1
35722,13,1,1,1
36638,19,0,0,1
12275,18,0,1,0
13395,5,1,0,0
17973,12,1,0,0
6570,1,1,1,0
13847,4,0,0,0
14900,14,1,0,0
42782,5,1,1,0
42668,13,0,0,1
31873,11,1,1,1
36087,16,0,1,1
21680,6,1,0,0
12400,8,1,0,0
41613,19,1,0,1
35810,1,1,0,0
30842,10,1,0,0
46667,20,0,1,1
35906,12,0,0,1
22553,4,0,1,0
39487,15,1,0,1
5920,20,1,0,0
26287,2,0,0,0
26843,10,0,0,0
48689,19,1,1,1
3582,16,1,0,0
38409,14,1,1,1
6539,17,0,1,0
14232,14,1,1,0
40313,18,1,1,1
31506,1,0,1,0
19862,6,0,0,0
47193,15,0,1,1
11024,7,0,1,0
14275,16,0,0,0
14430,18,1,1,0
2210,9,1,0,0
37795,15,1,1,1
11093,10,1,1,0
625,17,0,1,0
17501,8,1,1,0
33063,1,1,1,0
42213,9,1,1,0
2511,17,0,1,0
18908,9,1,1,0
22367,2,0,1,0
14094,9,1,0,0
18831,6,1,1,0
13311,5,0,0,0
27118,15,0,1,1
21350,1,0,0,0
38638,15,1,1,1
30211,2,0,0,0
7382,20,1,1,0
325,3,1,1,0
9692,5,0,1,0
35070,4,1,0,0
24905,20,0,0,1
1128,20,0,0,0
986,6,0,0,0
35507,11,1,1,1
47206,14,1,1,1
6321,18,0,1,0
4609,16,1,0,0
11661,20,0,1,0
27765,9,1,0,0
9569,18,1,0,0
29928,5,0,0,0
39435,7,1,0,0
39800,12,0,0,1
31222,13,0,1,1
19692,1,0,0,0
29028,6,0,0,0
26517,9,1,1,0
28518,8,1,1,0
28503,12,1,0,1
47726,4,1,0,0
37242,3,1,0,0
35203,4,0,0,0
24334,19,1,1,1
16647,13,0,1,0
21055,13,0,1,1
26693,13,0,0,1
47453,15,1,1,1
35862,20,0,0,1
28825,7,1,0,0
7572,10,0,1,0
29825,18,0,0,1
4231,10,0,0,0
41721,12,0,1,1
2232,11,1,1,0
2515,3,0,1,0
10917,12,1,0,0
8987,2,1,1,0
47745,15,1,0,1
1007,19,0,0,0
23801,2,1,1,0
16352,3,1,1,0
475,16,1,0,0
32945,5,0,1,0
12636,2,1,0,0
37973,13,1,0,1
33901,10,1,1,0
48636,16,1,0,1
4132,2,0,1,0
40706,17,1,0,1
4510,3,1,1,0
32170,19,1,1,1
45563,3,1,0,0
37550,13,0,0,1
31124,4,0,0,0
49744,5,1,0,0
22467,18,0,1,1
6387,15,0,0,0
9937,3,1,0,0
40043,19,0,1,1
38334,10,1,0,0
35445,5,1,1,0
42772,12,0,1,1
20946,1,1,1,0
6162,20,0,1,0
5545,19,0,0,0
18108,7,0,0,0
7852,15,1,1,0
40483,6,1,0,0
4538,8,1,0,0
21605,8,1,1,0
41238,18,0,0,1
16025,1,0,1,0
26229,16,1,0,1
4880,16,0,1,0
8164,18,1,1,0
48122,16,0,1,1
21279,17,1,0,1
40491,12,1,1,1
3924,20,0,0,0
5668,10,1,0,0
5844,1,1,1,0
118,16,1,0,0
41374,4,1,1,0
3541,17,1,1,0
2212,12,1,1,0
48939,20,1,1,1
45625,11,1,0,1
41226,18,0,1,1
23059,2,0,0,0
43362,9,1,0,0
40912,16,1,0,1
40253,18,1,0,1
37450,11,0,0,1
27022,15,0,0,1
46599,7,1,1,0
5250,1,0,1,0
13449,4,0,1,0
39934,18,0,0,1
30822,5,1,1,0
41642,8,0,0,0
46526,20,0,1,1
41562,19,0,0,1
49594,13,1,1,1
37303,5,1,1,0
8955,20,1,1,0
13421,4,1,1,0
26339,5,1,0,0
20272,6,0,0,0
40733,1,0,1,0
41163,2,1,0,0
6895,4,0,1,0
19349,13,1,1,0
20814,19,1,0,1
